tanggal_operasi_pmks,jenis_pmks,jumlah_pmks
1/1/2020,Anak Terlantar,0
1/1/2020,Anak Jalanan,0
1/1/2020,Gelandangan,0
1/1/2020,Pengemis,0
1/1/2020,Pengamen,0
1/1/2020,Pemulung,0
1/1/2020,Asongan,0
1/1/2020,Wanita Tuna Susila (WTS),0
1/1/2020,Penyandang Cacat,0
1/1/2020,Waria,0
1/1/2020,Korban Tindak Kekerasan,0
1/1/2020,Psikotik,0
1/1/2020,Orang Terlantar,0
1/1/2020,Lansia Terlantar,0
1/1/2020,Parkir Liar,0
1/1/2020,Lain - Lain,0
1/2/2020,Anak Terlantar,0
1/2/2020,Anak Jalanan,0
1/2/2020,Gelandangan,0
1/2/2020,Pengemis,0
1/2/2020,Pengamen,0
1/2/2020,Pemulung,0
1/2/2020,Asongan,0
1/2/2020,Wanita Tuna Susila (WTS),0
1/2/2020,Penyandang Cacat,0
1/2/2020,Waria,0
1/2/2020,Korban Tindak Kekerasan,0
1/2/2020,Psikotik,0
1/2/2020,Orang Terlantar,0
1/2/2020,Lansia Terlantar,0
1/2/2020,Parkir Liar,0
1/2/2020,Lain - Lain,0
1/3/2020,Anak Terlantar,0
1/3/2020,Anak Jalanan,0
1/3/2020,Gelandangan,0
1/3/2020,Pengemis,0
1/3/2020,Pengamen,0
1/3/2020,Pemulung,0
1/3/2020,Asongan,0
1/3/2020,Wanita Tuna Susila (WTS),0
1/3/2020,Penyandang Cacat,0
1/3/2020,Waria,0
1/3/2020,Korban Tindak Kekerasan,0
1/3/2020,Psikotik,1
1/3/2020,Orang Terlantar,0
1/3/2020,Lansia Terlantar,0
1/3/2020,Parkir Liar,0
1/3/2020,Lain - Lain,0
1/4/2020,Anak Terlantar,0
1/4/2020,Anak Jalanan,0
1/4/2020,Gelandangan,0
1/4/2020,Pengemis,0
1/4/2020,Pengamen,0
1/4/2020,Pemulung,0
1/4/2020,Asongan,0
1/4/2020,Wanita Tuna Susila (WTS),0
1/4/2020,Penyandang Cacat,0
1/4/2020,Waria,0
1/4/2020,Korban Tindak Kekerasan,0
1/4/2020,Psikotik,0
1/4/2020,Orang Terlantar,1
1/4/2020,Lansia Terlantar,0
1/4/2020,Parkir Liar,0
1/4/2020,Lain - Lain,0
1/5/2020,Anak Terlantar,0
1/5/2020,Anak Jalanan,0
1/5/2020,Gelandangan,0
1/5/2020,Pengemis,0
1/5/2020,Pengamen,0
1/5/2020,Pemulung,0
1/5/2020,Asongan,0
1/5/2020,Wanita Tuna Susila (WTS),0
1/5/2020,Penyandang Cacat,0
1/5/2020,Waria,0
1/5/2020,Korban Tindak Kekerasan,0
1/5/2020,Psikotik,0
1/5/2020,Orang Terlantar,0
1/5/2020,Lansia Terlantar,0
1/5/2020,Parkir Liar,0
1/5/2020,Lain - Lain,0
1/6/2020,Anak Terlantar,0
1/6/2020,Anak Jalanan,0
1/6/2020,Gelandangan,0
1/6/2020,Pengemis,0
1/6/2020,Pengamen,0
1/6/2020,Pemulung,0
1/6/2020,Asongan,0
1/6/2020,Wanita Tuna Susila (WTS),0
1/6/2020,Penyandang Cacat,0
1/6/2020,Waria,0
1/6/2020,Korban Tindak Kekerasan,0
1/6/2020,Psikotik,0
1/6/2020,Orang Terlantar,1
1/6/2020,Lansia Terlantar,0
1/6/2020,Parkir Liar,0
1/6/2020,Lain - Lain,0
1/6/2020,Anak Terlantar,0
1/7/2020,Anak Jalanan,0
1/7/2020,Gelandangan,0
1/7/2020,Pengemis,0
1/7/2020,Pengamen,0
1/7/2020,Pemulung,0
1/7/2020,Asongan,0
1/7/2020,Wanita Tuna Susila (WTS),0
1/7/2020,Penyandang Cacat,0
1/7/2020,Waria,0
1/7/2020,Korban Tindak Kekerasan,0
1/7/2020,Psikotik,0
1/7/2020,Orang Terlantar,0
1/7/2020,Lansia Terlantar,0
1/7/2020,Parkir Liar,0
1/7/2020,Lain - Lain,0
1/8/2020,Anak Terlantar,0
1/8/2020,Anak Jalanan,0
1/8/2020,Gelandangan,0
1/8/2020,Pengemis,0
1/8/2020,Pengamen,0
1/8/2020,Pemulung,0
1/8/2020,Asongan,0
1/8/2020,Wanita Tuna Susila (WTS),0
1/8/2020,Penyandang Cacat,0
1/8/2020,Waria,0
1/8/2020,Korban Tindak Kekerasan,0
1/8/2020,Psikotik,0
1/8/2020,Orang Terlantar,1
1/8/2020,Lansia Terlantar,0
1/8/2020,Parkir Liar,0
1/8/2020,Lain - Lain,0
1/9/2020,Anak Terlantar,0
1/9/2020,Anak Jalanan,0
1/9/2020,Gelandangan,0
1/9/2020,Pengemis,0
1/9/2020,Pengamen,0
1/9/2020,Pemulung,0
1/9/2020,Asongan,0
1/9/2020,Wanita Tuna Susila (WTS),0
1/9/2020,Penyandang Cacat,0
1/9/2020,Waria,0
1/9/2020,Korban Tindak Kekerasan,0
1/9/2020,Psikotik,0
1/9/2020,Orang Terlantar,0
1/9/2020,Lansia Terlantar,0
1/9/2020,Parkir Liar,0
1/9/2020,Lain - Lain,0
1/10/2020,Anak Terlantar,0
1/10/2020,Anak Jalanan,0
1/10/2020,Gelandangan,1
1/10/2020,Pengemis,0
1/10/2020,Pengamen,0
1/10/2020,Pemulung,0
1/10/2020,Asongan,0
1/10/2020,Wanita Tuna Susila (WTS),0
1/10/2020,Penyandang Cacat,0
1/10/2020,Waria,0
1/10/2020,Korban Tindak Kekerasan,0
1/10/2020,Psikotik,0
1/10/2020,Orang Terlantar,2
1/10/2020,Lansia Terlantar,0
1/10/2020,Parkir Liar,0
1/10/2020,Lain - Lain,0
1/11/2020,Anak Terlantar,0
1/11/2020,Anak Jalanan,0
1/11/2020,Gelandangan,0
1/11/2020,Pengemis,0
1/11/2020,Pengamen,0
1/11/2020,Pemulung,0
1/11/2020,Asongan,0
1/11/2020,Wanita Tuna Susila (WTS),0
1/11/2020,Penyandang Cacat,0
1/11/2020,Waria,0
1/11/2020,Korban Tindak Kekerasan,0
1/11/2020,Psikotik,0
1/11/2020,Orang Terlantar,0
1/11/2020,Lansia Terlantar,0
1/11/2020,Parkir Liar,0
1/11/2020,Lain - Lain,0
1/12/2020,Anak Terlantar,0
1/12/2020,Anak Jalanan,0
1/12/2020,Gelandangan,0
1/12/2020,Pengemis,0
1/12/2020,Pengamen,0
1/12/2020,Pemulung,0
1/12/2020,Asongan,0
1/12/2020,Wanita Tuna Susila (WTS),0
1/12/2020,Penyandang Cacat,0
1/12/2020,Waria,0
1/12/2020,Korban Tindak Kekerasan,0
1/12/2020,Psikotik,0
1/12/2020,Orang Terlantar,0
1/12/2020,Lansia Terlantar,0
1/12/2020,Parkir Liar,0
1/12/2020,Lain - Lain,0
1/13/2020,Anak Terlantar,0
1/13/2020,Anak Jalanan,0
1/13/2020,Gelandangan,2
1/13/2020,Pengemis,0
1/13/2020,Pengamen,0
1/13/2020,Pemulung,0
1/13/2020,Asongan,0
1/13/2020,Wanita Tuna Susila (WTS),0
1/13/2020,Penyandang Cacat,0
1/13/2020,Waria,0
1/13/2020,Korban Tindak Kekerasan,0
1/13/2020,Psikotik,1
1/13/2020,Orang Terlantar,0
1/13/2020,Lansia Terlantar,0
1/13/2020,Parkir Liar,0
1/13/2020,Lain - Lain,0
1/14/2020,Anak Terlantar,0
1/14/2020,Anak Jalanan,0
1/14/2020,Gelandangan,0
1/14/2020,Pengemis,0
1/14/2020,Pengamen,0
1/14/2020,Pemulung,0
1/14/2020,Asongan,0
1/14/2020,Wanita Tuna Susila (WTS),0
1/14/2020,Penyandang Cacat,0
1/14/2020,Waria,0
1/14/2020,Korban Tindak Kekerasan,0
1/14/2020,Psikotik,0
1/14/2020,Orang Terlantar,0
1/14/2020,Lansia Terlantar,0
1/14/2020,Parkir Liar,0
1/14/2020,Lain - Lain,0
1/15/2020,Anak Terlantar,0
1/15/2020,Anak Jalanan,0
1/15/2020,Gelandangan,2
1/15/2020,Pengemis,0
1/15/2020,Pengamen,0
1/15/2020,Pemulung,0
1/15/2020,Asongan,0
1/15/2020,Wanita Tuna Susila (WTS),0
1/15/2020,Penyandang Cacat,0
1/15/2020,Waria,0
1/15/2020,Korban Tindak Kekerasan,0
1/15/2020,Psikotik,0
1/15/2020,Orang Terlantar,1
1/15/2020,Lansia Terlantar,0
1/15/2020,Parkir Liar,0
1/15/2020,Lain - Lain,0
1/16/2020,Anak Terlantar,0
1/16/2020,Anak Jalanan,0
1/16/2020,Gelandangan,0
1/16/2020,Pengemis,0
1/16/2020,Pengamen,0
1/16/2020,Pemulung,0
1/16/2020,Asongan,0
1/16/2020,Wanita Tuna Susila (WTS),0
1/16/2020,Penyandang Cacat,0
1/16/2020,Waria,0
1/16/2020,Korban Tindak Kekerasan,0
1/16/2020,Psikotik,0
1/16/2020,Orang Terlantar,2
1/16/2020,Lansia Terlantar,0
1/16/2020,Parkir Liar,0
1/16/2020,Lain - Lain,0
1/17/2020,Anak Terlantar,0
1/17/2020,Anak Jalanan,0
1/17/2020,Gelandangan,0
1/17/2020,Pengemis,0
1/17/2020,Pengamen,0
1/17/2020,Pemulung,0
1/17/2020,Asongan,0
1/17/2020,Wanita Tuna Susila (WTS),0
1/17/2020,Penyandang Cacat,0
1/17/2020,Waria,0
1/17/2020,Korban Tindak Kekerasan,0
1/17/2020,Psikotik,1
1/17/2020,Orang Terlantar,1
1/17/2020,Lansia Terlantar,0
1/17/2020,Parkir Liar,0
1/17/2020,Lain - Lain,0
1/18/2020,Anak Terlantar,0
1/18/2020,Anak Jalanan,0
1/18/2020,Gelandangan,0
1/18/2020,Pengemis,0
1/18/2020,Pengamen,0
1/18/2020,Pemulung,0
1/18/2020,Asongan,0
1/18/2020,Wanita Tuna Susila (WTS),0
1/18/2020,Penyandang Cacat,0
1/18/2020,Waria,0
1/18/2020,Korban Tindak Kekerasan,0
1/18/2020,Psikotik,0
1/18/2020,Orang Terlantar,0
1/18/2020,Lansia Terlantar,0
1/18/2020,Parkir Liar,0
1/18/2020,Lain - Lain,0
1/19/2020,Anak Terlantar,0
1/19/2020,Anak Jalanan,0
1/19/2020,Gelandangan,0
1/19/2020,Pengemis,0
1/19/2020,Pengamen,0
1/19/2020,Pemulung,0
1/19/2020,Asongan,0
1/19/2020,Wanita Tuna Susila (WTS),0
1/19/2020,Penyandang Cacat,0
1/19/2020,Waria,0
1/19/2020,Korban Tindak Kekerasan,0
1/19/2020,Psikotik,0
1/19/2020,Orang Terlantar,1
1/19/2020,Lansia Terlantar,0
1/19/2020,Parkir Liar,0
1/19/2020,Lain - Lain,0
1/20/2020,Anak Terlantar,0
1/20/2020,Anak Jalanan,0
1/20/2020,Gelandangan,1
1/20/2020,Pengemis,0
1/20/2020,Pengamen,5
1/20/2020,Pemulung,0
1/20/2020,Asongan,0
1/20/2020,Wanita Tuna Susila (WTS),0
1/20/2020,Penyandang Cacat,0
1/20/2020,Waria,0
1/20/2020,Korban Tindak Kekerasan,0
1/20/2020,Psikotik,0
1/20/2020,Orang Terlantar,0
1/20/2020,Lansia Terlantar,0
1/20/2020,Parkir Liar,1
1/20/2020,Lain - Lain,0
1/21/2020,Anak Terlantar,0
1/21/2020,Anak Jalanan,0
1/21/2020,Gelandangan,0
1/21/2020,Pengemis,0
1/21/2020,Pengamen,0
1/21/2020,Pemulung,0
1/21/2020,Asongan,0
1/21/2020,Wanita Tuna Susila (WTS),0
1/21/2020,Penyandang Cacat,0
1/21/2020,Waria,0
1/21/2020,Korban Tindak Kekerasan,0
1/21/2020,Psikotik,0
1/21/2020,Orang Terlantar,3
1/21/2020,Lansia Terlantar,0
1/21/2020,Parkir Liar,0
1/21/2020,Lain - Lain,0
1/22/2020,Anak Terlantar,0
1/22/2020,Anak Jalanan,0
1/22/2020,Gelandangan,0
1/22/2020,Pengemis,0
1/22/2020,Pengamen,0
1/22/2020,Pemulung,0
1/22/2020,Asongan,0
1/22/2020,Wanita Tuna Susila (WTS),0
1/22/2020,Penyandang Cacat,0
1/22/2020,Waria,0
1/22/2020,Korban Tindak Kekerasan,0
1/22/2020,Psikotik,0
1/22/2020,Orang Terlantar,0
1/22/2020,Lansia Terlantar,0
1/22/2020,Parkir Liar,0
1/22/2020,Lain - Lain,0
1/23/2020,Anak Terlantar,0
1/23/2020,Anak Jalanan,0
1/23/2020,Gelandangan,0
1/23/2020,Pengemis,0
1/23/2020,Pengamen,0
1/23/2020,Pemulung,0
1/23/2020,Asongan,0
1/23/2020,Wanita Tuna Susila (WTS),0
1/23/2020,Penyandang Cacat,0
1/23/2020,Waria,0
1/23/2020,Korban Tindak Kekerasan,0
1/23/2020,Psikotik,0
1/23/2020,Orang Terlantar,4
1/23/2020,Lansia Terlantar,0
1/23/2020,Parkir Liar,0
1/23/2020,Lain - Lain,0
1/24/2020,Anak Terlantar,0
1/24/2020,Anak Jalanan,0
1/24/2020,Gelandangan,0
1/24/2020,Pengemis,0
1/24/2020,Pengamen,0
1/24/2020,Pemulung,0
1/24/2020,Asongan,0
1/24/2020,Wanita Tuna Susila (WTS),0
1/24/2020,Penyandang Cacat,0
1/24/2020,Waria,0
1/24/2020,Korban Tindak Kekerasan,0
1/24/2020,Psikotik,0
1/24/2020,Orang Terlantar,2
1/24/2020,Lansia Terlantar,0
1/24/2020,Parkir Liar,0
1/24/2020,Lain - Lain,0
1/25/2020,Anak Terlantar,0
1/25/2020,Anak Jalanan,0
1/25/2020,Gelandangan,0
1/25/2020,Pengemis,0
1/25/2020,Pengamen,0
1/25/2020,Pemulung,0
1/25/2020,Asongan,0
1/25/2020,Wanita Tuna Susila (WTS),0
1/25/2020,Penyandang Cacat,0
1/25/2020,Waria,0
1/25/2020,Korban Tindak Kekerasan,0
1/25/2020,Psikotik,1
1/25/2020,Orang Terlantar,0
1/25/2020,Lansia Terlantar,0
1/25/2020,Parkir Liar,0
1/25/2020,Lain - Lain,0
1/26/2020,Anak Terlantar,0
1/26/2020,Anak Jalanan,0
1/26/2020,Gelandangan,0
1/26/2020,Pengemis,0
1/26/2020,Pengamen,0
1/26/2020,Pemulung,0
1/26/2020,Asongan,0
1/26/2020,Wanita Tuna Susila (WTS),0
1/26/2020,Penyandang Cacat,0
1/26/2020,Waria,0
1/26/2020,Korban Tindak Kekerasan,0
1/26/2020,Psikotik,0
1/26/2020,Orang Terlantar,0
1/26/2020,Lansia Terlantar,0
1/26/2020,Parkir Liar,0
1/26/2020,Lain - Lain,0
1/27/2020,Anak Terlantar,0
1/27/2020,Anak Jalanan,0
1/27/2020,Gelandangan,0
1/27/2020,Pengemis,0
1/27/2020,Pengamen,0
1/27/2020,Pemulung,0
1/27/2020,Asongan,0
1/27/2020,Wanita Tuna Susila (WTS),0
1/27/2020,Penyandang Cacat,0
1/27/2020,Waria,0
1/27/2020,Korban Tindak Kekerasan,0
1/27/2020,Psikotik,0
1/27/2020,Orang Terlantar,3
1/27/2020,Lansia Terlantar,0
1/27/2020,Parkir Liar,0
1/27/2020,Lain - Lain,0
1/28/2020,Anak Terlantar,0
1/28/2020,Anak Jalanan,0
1/28/2020,Gelandangan,0
1/28/2020,Pengemis,0
1/28/2020,Pengamen,0
1/28/2020,Pemulung,0
1/28/2020,Asongan,0
1/28/2020,Wanita Tuna Susila (WTS),0
1/28/2020,Penyandang Cacat,0
1/28/2020,Waria,0
1/28/2020,Korban Tindak Kekerasan,0
1/28/2020,Psikotik,0
1/28/2020,Orang Terlantar,0
1/28/2020,Lansia Terlantar,0
1/28/2020,Parkir Liar,0
1/28/2020,Lain - Lain,0
1/29/2020,Anak Terlantar,0
1/29/2020,Anak Jalanan,0
1/29/2020,Gelandangan,0
1/29/2020,Pengemis,0
1/29/2020,Pengamen,0
1/29/2020,Pemulung,0
1/29/2020,Asongan,0
1/29/2020,Wanita Tuna Susila (WTS),0
1/29/2020,Penyandang Cacat,0
1/29/2020,Waria,0
1/29/2020,Korban Tindak Kekerasan,0
1/29/2020,Psikotik,0
1/29/2020,Orang Terlantar,0
1/29/2020,Lansia Terlantar,0
1/29/2020,Parkir Liar,0
1/29/2020,Lain - Lain,0
1/30/2020,Anak Terlantar,0
1/30/2020,Anak Jalanan,0
1/30/2020,Gelandangan,0
1/30/2020,Pengemis,0
1/30/2020,Pengamen,0
1/30/2020,Pemulung,0
1/30/2020,Asongan,0
1/30/2020,Wanita Tuna Susila (WTS),0
1/30/2020,Penyandang Cacat,0
1/30/2020,Waria,0
1/30/2020,Korban Tindak Kekerasan,0
1/30/2020,Psikotik,0
1/30/2020,Orang Terlantar,0
1/30/2020,Lansia Terlantar,0
1/30/2020,Parkir Liar,0
1/30/2020,Lain - Lain,0
1/31/2020,Anak Terlantar,0
1/31/2020,Anak Jalanan,0
1/31/2020,Gelandangan,0
1/31/2020,Pengemis,0
1/31/2020,Pengamen,0
1/31/2020,Pemulung,0
1/31/2020,Asongan,0
1/31/2020,Wanita Tuna Susila (WTS),32
1/31/2020,Penyandang Cacat,0
1/31/2020,Waria,0
1/31/2020,Korban Tindak Kekerasan,0
1/31/2020,Psikotik,0
1/31/2020,Orang Terlantar,0
1/31/2020,Lansia Terlantar,0
1/31/2020,Parkir Liar,0
1/31/2020,Lain - Lain,0
